listing_id,url,title,property_type,price,price_azn,location,address,rooms,area,floor,total_floors,description,features,agent_name,phone,date_posted,listing_code,view_count,has_document,is_credit_available,latitude,longitude,scraped_at
2,https://arenda.az/satilir-5-otaqli-heyet-evi-villa-abseron-rayonu-masazir-xirdalan-2,Satılır Həyət evi/villa,Həyət evi/villa,50 000,50 000,Xırdalan ş.,Xırdalan,5,160,,,Masazırda Yeni Bakı Yaşayış Kompleksin Yanında Tam Şəxsi Tikili 2 Sotda 4 Daş Kürsüdə 5 Otaqlı Həyət Evi Satılır 4 Bir Yani Qoşa Kubik Mərtəbələr Arası Manalit Betondur Sənəd Çıxarişdi Kupça Var Mərkəzi Kanalizasiya Sistemi Var Qaz Su İşıq Daimidir Məktəbə Bağçaya Avtobus Dayanacağına Piyada Məsafəsindədir Həyətə Asanlıqla 3 4 Maşın Daxil Ola Bilir Evimizdə Son Tamamla İşləri Qalib Evimizin Həyətinə Heç Bir Pəncərə Duşmur Qarşisi Açıqdı Daha Ətraflı Məlumat Üçün Zəng Və Ya Whatsapp Vasitəsilə Əlaqə Saxlaya Bilərsiniz Təşəkkürlər,"Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Balkon, Kombi, Avtodayanacaq",Arif (Vasitəçi),(077) 717-91-90,01.01.2026,3651736,463,Bəli,Bəli,40.37336527040737,49.835700083690874,2026-01-01T15:02:13.358314
20,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-abs-eron-rayon-masazir-qesebesi-yeni-masazir-yasayis-kompleksi-20,Satılır Yeni Tikili,Yeni Tikili,82 000,82 000,"Masazır, Abşeron r.",Abşeron rayon Masazır qəsəbəsi Yeni Masazir yasayis kompleksi,3,90,10,11,Abşeron rayon Masazır qəsəbəsi Yeni Masazir yasayis kompleksi.Yaxinliginda Məktəb Baxça fəaliyyət göstərir.Su İşıq Qaz ve Lift daimidır.Bina 11 mərtəbəlidir.Mənzil ise 10 cu mərtəbədir.Senedleri tam qaydasindadir(Kupca var).,,RA Əmlak Abşeron (Vasitəçi),(050) 478-73-07,01.01.2026,4306930,218,Bəli,Xeyr,,,2026-01-01T15:02:13.898275
6,https://arenda.az/satilir-2-otaqli-kohne-tikili-yasamal-rayonu-nizami-metrosu-yasamal-rayonu-izmir-kucesi-6,Satılır Köhnə Tikili,Köhnə Tikili / Leninqrad,109 000,109 000,"Elmlər akademiyası m., Yasamal r.",Yasamal Rayonu İzmir kucəsi.,2,52,4,9,Mənzil Satilir Yasamal Rayonu İzmir kucəsi.Həyat Rezidenslə uzbəuz.2 otag 52 kv 9\4 Lelinqrad proyekt.Təmirli Əsyali satilir.Polu parket.İstilik sistemi kombi. Hamam tualet ayri ayri.Ətrafli məlumat ucun əlaqə saxlayin.Ofis haqqi 1%,"Təmirli, Qaz, Su, İşıq, İnternet, Kabel TV, Lift, Kombi, Kondisioner, Mətbəx mebeli, Əşyalı, Avtodayanacaq",Adil (Vasitəçi),(070) 281-00-93,01.01.2026,2253838,238,Bəli,Xeyr,,,2026-01-01T15:02:14.389810
1660,https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-masazir-1660,Satılır Yeni Tikili,Yeni Tikili / Qurtuluş-93 - Masazır,66 000,66 000,"Masazır, Abşeron r.",Masazır,3,72,3,9,"Masazir qəsəbəsi Qurtuluş 93 yaşayış kompleksində umumi sahəsi 72 kv m olan 3 otaqlı təmirli mənzil satilir. Mənzil 9 mərtəbəli binanın 3 cü mərtəbəsində yerləsir. Şəhərcikde Məkteb baxca, futbol meydancaları 24 saat mərkəzi istilik var.Binada su isg daimidir qaz xətti çəkilib yaxn vaxlarda binaya qaz veriləcəy. Lift var. Mənzil kupcalıdır KREDİT BARTER YOXDUR. Qiymət 110 000 azn","Təmirli, Su, İşıq, Telefon, İnternet, Kabel TV, Lift, PVC pəncərə, Balkon, Kombi, Mərkəzi qızdırıcı sistem, Mətbəx mebeli, Avtodayanacaq, Düzəlmə",Qurtuluş Əmlak (Vasitəçi),(050) 202-72-25,01.01.2026,1183495,255,Bəli,Xeyr,,,2026-01-01T15:02:14.981477
72,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xirdalan-xirdalan-seheri-sixeli-qurbanov-kucesi-72,Satılır Həyət evi/villa,Həyət evi/villa,135 000,135 000,"Masazır, Abşeron r.",Xırdalan şəhəri Şixəli Qurbanov küçəsi 72,4,140,,,"Xırdalan şəhərinin ən rahat yerində yerləşən həyət evimi satıram. Ev Masazır dairəsindən Xırdalan şəhərinə girəndə birinci məhəllədə yerləşir. Evin yanında 24 və 26 saylı uşaq baxçaları, 3 nömrəli məktəb lisey yerləşir. Evin 9 metr uzunluğu,4 metr eni olan həyəti var, hər iki mərtəbədə hamam tualet var, istilik sistemi kombidir. Ev həmdə güzəştli ipotekadadır, aylığı 332 azn, yəni ilkin ödəniş ödənilərsə, güzəştli ipoteka ilə də əldə etmək olar. Sənəd tam mülkiyyətdir. Yalnız ciddi şəxslər narahat etsin.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Balkon, Kombi, Kondisioner, Mətbəx mebeli, Əşyalı",Ramiı (Əmlak sahibi),(051) 774-09-77,01.01.2026,1846667,20,Bəli,Bəli,,,2026-01-01T15:02:15.455430
metrosu,https://arenda.az/kiraye-gunluk-3-otaqli-kohne-tikili-sebail-rayonu-sahil-metrosu-tarqovida-sahil-metrosu,Kirayə (günlük) Köhnə Tikili,Köhnə Tikili / Stalinka,50,50,"28 May m., 28 Mall, Nəsimi r.",Tarqovida Sahil metrosu,3,90,3,5,,"Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Avtodayanacaq, Balkon, Lift, Əşyalı",Gundelik kiraye ev (Əmlak sahibi),(055) 275-40-40,01.01.2026,614684,8,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:15.621024
yani,https://arenda.az/kiraye-gunluk-2-otaqli-kohne-tikili-sebail-rayonu-iceriseher-metrosu-iceri-seher-metrosu-axundov-baginin-yani,Kirayə (günlük) Köhnə Tikili,Köhnə Tikili,50,50,"28 May m., 28 Mall, Nəsimi r.",Iceri Seher metrosu Axundov baginin yani,2,65,2,5,"Elanı sona kimi oxuyun! Şəxsi mənzilimdir,1 günlük və saatlıq vermirəm! Yalnız ailə və ya tək iş adamına verilir.!!Bulvarla uz-be-uz kiraye gunluk ev. Seherin merkezinde 2 otaqli ela temirli ve tam esyali menzil gundelik kirayeye verilir. Ancaq əcnəbi qonaqlar ve aileliler ucun verilir.MEnzil yasamaq ucun tam seraitlidir. Kombi istilik sistemi ve kandisioner, Suretli internet WI-Fi,LED tv(kabel sputnik), yumsaq ve yataq mebeli, metbex mebeli ve avadinliqlari, soyuducu, mikrodalgali soba, paltaryuyan, 24 saat isti soyuq su, qaz, isiq, temiz pastel ve desmal desti. Qiymət otaq sayından asılı olaraq 50 manatdan 120 manatadək dəyişir.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Avtodayanacaq",Gundelik kiraye ev (Vasitəçi),(055) 275-40-40,01.01.2026,393495,11,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:15.908677
qarsisinda,https://arenda.az/kiraye-gunluk-3-otaqli-yeni-tikili-nesimi-rayonu-28-may-metrosu-28-may-metrosunun-qarsisinda,Kirayə (günlük) Yeni Tikili,Yeni Tikili,50,50,"28 May m., 28 Mall, Səbail r.",28 May metrosunun qarşısında,3,157,11,22,"Ev 1 gecəlik və saatlıq verilmir!. Minimum 3 günlük verilir. Yeni tikilmiş binada Super temirli,muasir mebel ve texnikayla yığılmış avanqard menzili gundelik kirayeye verirem. Ev öz evimdir. 3 otaq 157 kvm sahesi var. Şekiller eve aitdir. Ev yalniz ecnebi qonaqlar ve aileliler ucun verilir. Ciddi şexsler narahat etsin! Qiymət otaq sayından asılı olaraq 50 manatdan 120 manatadək dəyişir.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Avtodayanacaq, Lift, Mətbəx mebeli, Əşyalı, Balkon",Gundelik kiraye ev (Əmlak sahibi),(055) 275-40-40,01.01.2026,995742,11,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:16.285537
erazini,https://arenda.az/kiraye-gunluk-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-erazini,Kirayə (günlük) Bağ evi,Bağ evi,80,80,Qusar ş.,Mərdəkan ərazini,4,,,,"İsti hovuz. Mərdəkan ərazisində tam şəraitli, səliqəli bağ evi kirayə verilir. Ev yeni tikilib, yeni təmir olunub, bütün mebel və əşyalar yenidir. İstirahət üçün hər bir şəraiti var. 3 yataq otaqı, 1 mətbəxt, 2 sanuzel var. Evdə Tv kabel, internet, kondisionerlər, paltaryuyan və s mövcuddur. Həyətdə 1 sanuzel, manqalni, stol stul, filterli İSTİ hovuzdan istifadə edərək istirahət edə bilərsiz. Dənizə 15 dəqiqəlik yol var (maşınla) . Əsas yoldan 1km aralıda sakitçilik ərazidə yerləşir. Bron etmək üçün əlaqə saxlaya bilərsiz","Təmirli, Qaz, Su, İşıq, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli",Ruslan (Əmlak sahibi),(051) 917-08-80,01.01.2026,9953737,21,Xeyr,Xeyr,40.492327137818634,50.135283568878066,2026-01-01T15:02:16.453217
23,https://arenda.az/kiraye-gunluk-4-otaqli-heyet-evi-villa-gence-gence-molunn-arxasi-hesenli-qardasli-23,Kirayə (günlük) Həyət evi/villa,Həyət evi/villa,90,90,Qusar ş.,"Gence Molunn arxasi, Hesenli qardasli 23",4,,,,"Salam. Gəncə şəhərinin tam mərkəzində (Gence mallin arxasinda) yerləşən təmirli və əşyalı həyət evi qısa və uzunmüddətli (günlük, həftəlik, aylıq) icarəyə verilir. Gecəlik qiymət – 60 manat. Qonaqların sayı 5 nəfərdən artıq olduqda, qiymət dəyişə bilər. Evin yalnız ailələr, iş adamları, eləcə də yerli və xarici qonaqlar üçün nəzərdə tutulduğunu diqqətinizə çatdırıram. Xahiş edirəm, başqa məqsədlər üçün müraciət etməyin.","Təmirli, Qaz, Su, İşıq, Telefon, İnternet, Kabel TV, PVC pəncərə, Kombi, Mərkəzi qızdırıcı sistem, Kondisioner, Mətbəx mebeli, Avtodayanacaq, Əşyalı",Yaşar Xəlilov (Əmlak sahibi),(050) 756-26-00,01.01.2026,4875250,43,Xeyr,Xeyr,40.37336527040737,49.835700083690874,2026-01-01T15:02:16.718262
